user,text,created_at,retweet_count,favorite_count
elonmusk,Hmm https://t.co/4gxN0Rq974,2025-03-30T18:33:50.000Z,3334,19559
elonmusk,"Vote for Superjudge Brad Schimel in Wisconsin on Tuesday!! 

The Republican House majority is razor thin and the Democrats want to redraw Wisconsin districts to flip the House and stop the government reforms. 

Super important to vote for Superjudge!! https://t.co/SgN9mSOZgU",2025-03-30T17:17:55.000Z,19725,70440
elonmusk,"It is time to arrest those funding the attacks. 

Arresting their puppets and paid foot-soldiers won’t stop the violence. 

 https://t.co/R4aHg4Q5Kw",2025-03-30T15:31:48.000Z,34690,183936
elonmusk,"They literally are paid “protesters”!
 https://t.co/wx0JFXWNFD",2025-03-30T15:24:20.000Z,29699,182456
elonmusk,"Of course. 

The left lied. https://t.co/mf99CQqJgl",2025-03-30T13:29:52.000Z,14003,72753
elonmusk,Cool https://t.co/LU9N4PfsAW,2025-03-30T06:27:06.000Z,19096,101578
elonmusk,Who is funding and organizing all these paid protests? https://t.co/QDjD9Gao8a,2025-03-30T06:18:48.000Z,22879,127538
elonmusk,"Sure is insanely ironic that the people shooting bullets into Tesla stores, burning down cars and generally being violent are calling me a Nazi when I have done literally zero violence at all 🤷‍♂️ https://t.co/DWrC7zrLw9",2025-03-30T06:17:19.000Z,40284,246586
elonmusk,"IRS refund fraud payments are one of several means used by the Democratic Party to attract and retain illegal immigrants in the USA. That’s why they are so opposed to @DOGE stopping this!

The Democratic Party is aiding and abetting fraudulent government payments to illegals in https://t.co/1t45vSnhce",2025-03-30T06:09:53.000Z,44441,139111
elonmusk,"💯
 https://t.co/5Pxy4G0GHk",2025-03-30T05:55:16.000Z,11144,56318
elonmusk,Exactly https://t.co/OyIAefETt1,2025-03-30T05:54:34.000Z,8338,45405
elonmusk,Democratic Party voter importation https://t.co/xUT7pHrDHw,2025-03-30T05:40:57.000Z,19385,81371
elonmusk,💯 https://t.co/vAdZTXhu2m,2025-03-29T21:59:43.000Z,21740,112542
elonmusk,Interesting 🤔 https://t.co/8B6ATDMyZz,2025-03-29T21:57:45.000Z,39841,225800
elonmusk,"The goal of the left is to destroy my influence. 

So they relentlessly push negative propaganda about me like the fake Nazi stuff and ignore anything positive. 

They are evil. https://t.co/RfS7e9UtAC",2025-03-29T21:55:57.000Z,54363,300545
elonmusk,True https://t.co/d1ISlgldSP,2025-03-29T21:44:15.000Z,2720,22718
elonmusk,"First time humans will be in polar orbit around Earth launches on Monday!

@framonauts https://t.co/s0fNKcUxNx",2025-03-29T21:37:41.000Z,19796,154075
elonmusk,Servers are running hot 🥵 https://t.co/2VDjMz6Rsl,2025-03-29T21:32:45.000Z,5705,48194
elonmusk,Everything is computer https://t.co/htfRhmQphU,2025-03-29T21:31:26.000Z,7221,86409
elonmusk,True https://t.co/DWUadoe6mQ,2025-03-29T21:30:37.000Z,13618,94153
elonmusk,This may be unfair to Llama,2025-03-29T21:27:32.000Z,654,5183
elonmusk,A Supreme Court election in Wisconsin might determine the fate of America https://t.co/lucFh8uydy,2025-03-29T17:06:35.000Z,32001,108615
elonmusk,This is really cool ❤️ https://t.co/cWJGmpbV0H,2025-03-29T16:52:21.000Z,4967,28289
elonmusk,Not bad https://t.co/pGlIkurYEm,2025-03-29T09:05:43.000Z,7726,62372
elonmusk,Starlink now in Azerbaijan 🇦🇿! https://t.co/pxLj4dARLb,2025-03-29T08:55:03.000Z,9094,95638
elonmusk,💯 https://t.co/z1aHk6IOud,2025-03-29T01:53:16.000Z,9417,52052
elonmusk,🇺🇸🇺🇸 https://t.co/p2iS4qrAer,2025-03-29T01:44:17.000Z,20750,108246
elonmusk,Imagine if every member of Congress had a veto right on legislation that could only be overridden by a committee that meets infrequently. Same thing. https://t.co/cXLg3MCTNE,2025-03-29T01:21:39.000Z,15774,75312
elonmusk,"Even more important than the Wisconsin Supreme Court race is the ballot initiative to add voter ID to the state constitution, which will ensure integrity in elections. 

Both are decided on April 1st. 

Very important to vote and encourage anyone you know in Wisconsin to vote!",2025-03-29T01:09:12.000Z,36485,143204
elonmusk,The @DOGE team is confident that Social Security will work much better in the future https://t.co/aoUtG33i0i,2025-03-29T00:55:55.000Z,11376,70873
elonmusk,https://t.co/kslsp7pgWO,2025-03-29T00:50:22.000Z,26244,144080
elonmusk,Yeah https://t.co/t2faGIdlup,2025-03-29T00:49:06.000Z,18155,245585
elonmusk,"Since the government program isn’t working, that’s pretty much what’s happening anyway https://t.co/lmhaSfTQIB",2025-03-29T00:44:18.000Z,9456,58913
elonmusk,"Good job, guys 😂 https://t.co/9fx1i6Qjrc",2025-03-29T00:30:56.000Z,21446,266081
elonmusk,🚀 https://t.co/imXu0dVXEl,2025-03-29T00:10:40.000Z,4444,27634
elonmusk,🚀🚀 https://t.co/DFxCQr2ug4,2025-03-28T21:58:33.000Z,2549,19417
elonmusk,Amazing 🤣 https://t.co/y6a4EE8mVt,2025-03-28T20:37:25.000Z,2444,18045
elonmusk,"Take a tequila shot every time Obama said “government efficiency” 
 https://t.co/gFLaK2Iwbb",2025-03-28T17:52:05.000Z,34285,217138
elonmusk,"Someone should do a “Who said it, Obama/Clinton or @DOGE?”

Literally impossible to tell the difference! https://t.co/LCsdKEiFxb",2025-03-28T17:44:33.000Z,20938,88294
elonmusk,Concerning https://t.co/PRmlzm2GZg,2025-03-28T17:41:28.000Z,62468,209230
elonmusk,😂 https://t.co/wymYOPEFNi,2025-03-28T17:28:27.000Z,21532,177837
elonmusk,"On Sunday night, I will give a talk in Wisconsin.

To clarify a previous post, entrance is limited to those who have signed the petition in opposition to activist judges.

I will also hand over checks for a million dollars to 2 people to be spokesmen for the petition.",2025-03-28T17:28:14.000Z,23208,141548
elonmusk,Yup https://t.co/AQYKkiVeDG,2025-03-28T14:42:03.000Z,14744,60100
elonmusk,🎯 https://t.co/itZW95WUbF,2025-03-28T14:26:07.000Z,17820,133072
elonmusk,Hmm https://t.co/0aQ2p02FxK,2025-03-28T13:51:38.000Z,11876,44734
elonmusk,Such hypocrisy https://t.co/7uEKgDLBz6,2025-03-28T13:43:12.000Z,52018,385526
elonmusk,Wow https://t.co/qR7is8eKGY,2025-03-28T13:34:08.000Z,16924,91358
elonmusk,😂🎯 https://t.co/WHny0Zn2e6,2025-03-28T13:29:36.000Z,4882,88849
elonmusk,https://t.co/VnLcmywp6g,2025-03-28T13:29:15.000Z,10894,54916
elonmusk,As it should be 🇺🇸🇺🇸 https://t.co/W2onBKrlZJ,2025-03-28T13:23:07.000Z,25310,173197
elonmusk,🇺🇸🇺🇸 https://t.co/5NbpWhi5IA,2025-03-28T12:50:21.000Z,9957,44406
elonmusk,💯🇺🇸 https://t.co/yr0nfucaJa,2025-03-28T12:39:50.000Z,6072,50677
elonmusk,AppLovin CEO uses Grok 3 https://t.co/aBUxHSs1XW,2025-03-28T12:25:07.000Z,2509,15141
elonmusk,"This shows why a regulatory overhaul is necessary. 

The burden of mountains of regulations is why the high speed rail can’t get down in California and the bridge that the ship hit still hasn’t been fixed. https://t.co/IPDgbUI6zY",2025-03-28T12:22:01.000Z,26123,117806
elonmusk,Correct https://t.co/et66TpjSRa,2025-03-28T12:04:01.000Z,46228,159648
elonmusk,This is a job for big 🏀🏀,2025-03-28T07:37:57.000Z,1190,12326
elonmusk,"Congratulations, Scott Ainsworth of Green Bay! https://t.co/usbPk0Js0K",2025-03-28T07:36:35.000Z,17526,116654
elonmusk,https://t.co/m0ZekDvYeX,2025-03-28T04:48:30.000Z,19065,183954
